work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Collection Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Collection Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Sr Business /Data Analyst- Reference data,,USA,85000.0,85000.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,85000.0,85000.0,,,,,"South Plainfield, NJ",United States,Small,Glassdoor Data Analyst Jobs,
,SENIOR DATA ANALYST,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst / Scientist,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Senior Data Analyst - Regulatory Reporting,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Reporting Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Governance Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Senior Data Analyst (6-12 Month Contract-Remote),,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,"Principal Data Analyst, LATAM – Disney Streaming Services",,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst- Win 10 Migration- NYC,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst (35 hours/week),,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Tech Business/Data Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
